iter	Passed	Remaining
550	1926	1569
551	1928	1565
552	1932	1561
553	1935	1558
554	1937	1553
555	1939	1548
556	1942	1544
557	1944	1540
558	1947	1536
559	1949	1531
560	1951	1527
561	1955	1523
562	1956	1518
563	1958	1514
564	1960	1509
565	1962	1504
566	1964	1500
567	1967	1496
568	1971	1493
569	1973	1489
570	1976	1484
571	1979	1481
572	1981	1476
573	1983	1471
574	1986	1467
575	1991	1466
576	1994	1462
577	1996	1457
578	1998	1453
579	2001	1449
580	2008	1448
581	2010	1444
582	2012	1439
583	2014	1435
584	2016	1430
585	2018	1425
586	2020	1421
587	2023	1417
588	2025	1413
589	2029	1410
590	2032	1406
591	2034	1402
592	2036	1398
593	2041	1395
594	2044	1391
595	2048	1388
596	2052	1385
597	2054	1380
598	2056	1376
599	2058	1372
600	2060	1367
601	2062	1363
602	2065	1360
603	2067	1355
604	2068	1350
605	2070	1346
606	2072	1341
607	2074	1337
608	2077	1333
609	2079	1329
610	2081	1325
611	2083	1321
612	2086	1317
613	2087	1312
614	2094	1311
615	2098	1308
616	2101	1304
617	2103	1300
618	2106	1296
619	2109	1292
620	2114	1290
621	2117	1286
622	2119	1282
623	2145	1293
624	2147	1288
625	2149	1284
626	2151	1279
627	2154	1276
628	2159	1273
629	2165	1272
630	2172	1270
631	2175	1266
632	2179	1263
633	2181	1259
634	2184	1255
635	2185	1250
636	2189	1247
637	2239	1270
638	2241	1266
639	2243	1262
640	2245	1257
641	2252	1255
642	2254	1251
643	2256	1247
644	2259	1243
645	2261	1239
646	2263	1234
647	2265	1230
648	2268	1226
649	2270	1222
650	2271	1217
651	2273	1213
652	2277	1209
653	2278	1205
654	2282	1202
655	2285	1198
656	2288	1194
657	2298	1194
658	2300	1190
659	2302	1186
660	2305	1182
661	2307	1178
662	2309	1173
663	2313	1170
664	2317	1167
665	2322	1164
666	2325	1160
667	2327	1156
668	2331	1153
669	2333	1149
670	2345	1149
671	2348	1146
672	2349	1141
673	2351	1137
674	2353	1133
675	2355	1128
676	2357	1124
677	2358	1120
678	2360	1116
679	2362	1111
680	2364	1107
681	2366	1103
682	2367	1098
683	2369	1094
684	2371	1090
685	2385	1092
686	2388	1088
687	2390	1084
688	2393	1080
689	2394	1076
690	2397	1072
691	2399	1068
692	2402	1064
693	2406	1061
694	2410	1057
695	2412	1053
696	2415	1049
697	2417	1046
698	2419	1042
699	2444	1047
700	2467	1052
701	2471	1049
702	2474	1045
703	2477	1041
704	2479	1037
705	2480	1033
706	2483	1029
707	2521	1039
708	2523	1035
709	2526	1032
710	2528	1027
711	2530	1023
712	2533	1019
713	2535	1015
714	2537	1011
715	2539	1007
716	2542	1003
717	2544	999
718	2546	995
719	2548	990
720	2549	986
721	2563	987
722	2564	982
723	2566	978
724	2568	974
725	2570	970
726	2572	966
727	2574	961
728	2577	958
729	2579	954
730	2581	950
731	2584	946
732	2586	942
733	2588	938
734	2593	934
735	2597	931
736	2600	927
737	2602	923
738	2605	920
739	2609	916
740	2612	912
741	2614	909
742	2618	905
743	2620	901
744	2623	897
745	2625	893
746	2626	889
747	2630	886
748	2632	882
749	2636	878
750	2639	875
751	2643	871
752	2645	867
753	2648	864
754	2650	860
755	2653	856
756	2657	852
757	2659	849
758	2662	845
759	2664	841
760	2670	838
761	2673	834
762	2696	837
763	2698	833
764	2700	829
765	2702	825
766	2705	822
767	2708	818
768	2710	814
769	2711	809
770	2713	805
771	2714	801
772	2716	797
773	2718	793
774	2720	789
775	2722	785
776	2724	781
777	2726	778
778	2748	779
779	2751	775
780	2753	772
781	2756	768
782	2758	764
783	2760	760
784	2763	756
785	2765	753
786	2768	749
787	2771	745
788	2774	741
789	2776	737
790	2778	734
791	2780	730
792	2798	730
793	2800	726
794	2803	723
795	2806	719
796	2808	715
797	2810	711
798	2814	708
799	2818	704
800	2821	700
801	2823	697
802	2825	693
803	2828	689
804	2830	685
805	2837	682
806	2840	679
807	2843	675
808	2845	671
809	2850	668
810	2852	664
811	2855	661
812	2858	657
813	2859	653
814	2862	649
815	2863	645
816	2865	641
817	2866	637
818	2868	633
819	2869	629
820	2871	626
821	2876	622
822	2878	619
823	2880	615
824	2882	611
825	2884	607
826	2886	603
827	2893	601
828	2896	597
829	2898	593
830	2901	590
831	2906	586
832	2908	583
833	2910	579
834	2912	575
835	2916	572
836	2922	569
837	2924	565
838	2926	561
839	2928	557
840	2933	554
841	2936	550
842	2937	547
843	2941	543
844	2944	540
845	2947	536
846	2950	532
847	2954	529
848	2956	525
849	2958	522
850	2960	518
851	2965	515
852	2967	511
853	2969	507
854	2971	503
855	2973	500
856	2975	496
857	2977	492
858	2979	489
859	2982	485
860	2984	481
861	2987	478
862	2990	474
863	2992	471
864	2994	467
865	3000	464
866	3002	460
867	3005	457
868	3007	453
869	3010	449
870	3012	446
871	3015	442
872	3018	439
873	3019	435
874	3021	431
875	3023	427
876	3025	424
877	3027	420
878	3029	417
879	3036	414
880	3040	410
881	3042	407
882	3044	403
883	3046	399
884	3048	396
885	3052	392
886	3055	389
887	3058	385
888	3060	382
889	3063	378
890	3065	375
891	3110	376
892	3113	373
893	3116	369
894	3119	365
895	3122	362
896	3125	358
897	3127	355
898	3129	351
899	3132	348
900	3134	344
901	3136	340
902	3138	337
903	3140	333
904	3158	331
905	3160	327
906	3162	324
907	3164	320
908	3168	317
909	3169	313
910	3172	309
911	3174	306
912	3176	302
913	3178	299
914	3180	295
915	3184	292
916	3186	288
917	3188	284
918	3191	281
919	3193	277
920	3195	274
921	3196	270
922	3198	266
923	3200	263
924	3202	259
925	3205	256
926	3206	252
927	3208	248
928	3211	245
929	3215	241
930	3218	238
931	3221	235
932	3225	231
933	3229	228
934	3230	224
935	3233	221
936	3235	217
937	3237	213
938	3239	210
939	3243	207
940	3246	203
941	3252	200
942	3255	196
943	3260	193
944	3264	189
945	3268	186
946	3272	183
947	3275	179
948	3277	176
949	3279	172
950	3281	169
951	3283	165
952	3285	162
953	3288	158
954	3291	155
955	3293	151
956	3296	148
957	3301	144
958	3303	141
959	3306	137
960	3310	134
961	3317	131
962	3321	127
963	3323	124
964	3324	120
965	3326	117
966	3329	113
967	3330	110
968	3333	106
969	3335	103
970	3339	99
