iter	Passed	Remaining
418	2855	3959
419	2856	3945
420	2858	3931
421	2861	3919
422	2866	3909
423	2869	3897
424	2871	3884
425	2874	3872
426	2887	3875
427	2890	3863
428	2893	3851
429	2901	3846
430	2904	3834
431	2907	3822
432	2915	3818
433	2917	3805
434	2919	3792
435	2921	3779
436	2955	3807
437	2962	3800
438	2966	3790
439	2969	3779
440	2972	3767
441	2979	3761
442	2982	3749
443	2984	3737
444	2986	3724
445	2988	3712
446	3020	3737
447	3027	3729
448	3032	3721
449	3034	3708
450	3037	3697
451	3045	3691
452	3047	3679
453	3050	3668
454	3052	3656
455	3060	3651
456	3063	3640
457	3066	3628
458	3082	3633
459	3084	3621
460	3092	3615
461	3096	3606
462	3099	3595
463	3104	3585
464	3108	3576
465	3110	3564
466	3113	3552
467	3115	3541
468	3128	3542
469	3130	3530
470	3132	3518
471	3136	3508
472	3137	3495
473	3139	3483
474	3141	3472
475	3143	3460
476	3149	3453
477	3151	3441
478	3153	3429
479	3155	3418
480	3158	3407
481	3208	3447
482	3211	3437
483	3213	3426
484	3215	3414
485	3217	3403
486	3220	3391
487	3221	3380
488	3223	3368
489	3226	3358
490	3229	3347
491	3231	3336
492	3233	3324
493	3236	3314
494	3238	3303
495	3279	3332
496	3281	3321
497	3285	3311
498	3287	3300
499	3292	3292
500	3295	3281
501	3297	3271
502	3299	3260
503	3302	3249
504	3307	3241
505	3310	3232
506	3313	3221
507	3319	3214
508	3322	3205
509	3325	3194
510	3327	3184
511	3330	3174
512	3334	3165
513	3336	3155
514	3339	3145
515	3341	3134
516	3344	3124
517	3346	3114
518	3349	3103
519	3364	3105
520	3366	3095
521	3368	3084
522	3370	3074
523	3373	3064
524	3376	3054
525	3379	3045
526	3381	3035
527	3383	3024
528	3386	3015
529	3389	3005
530	3391	2995
531	3396	2987
532	3403	2981
533	3405	2972
534	3408	2962
535	3411	2953
536	3415	2945
537	3417	2935
538	3423	2927
539	3425	2918
540	3427	2908
541	3433	2900
542	3435	2891
543	3474	2912
544	3478	2904
545	3481	2894
546	3484	2885
547	3486	2875
548	3490	2867
549	3496	2860
550	3498	2850
551	3500	2841
552	3503	2831
553	3505	2822
554	3507	2812
555	3511	2804
556	3518	2798
557	3521	2789
558	3523	2779
559	3528	2772
560	3530	2762
561	3532	2752
562	3535	2744
563	3538	2735
564	3543	2727
565	3545	2718
566	3549	2710
567	3552	2701
568	3582	2713
569	3584	2704
570	3589	2697
571	3591	2687
572	3594	2678
573	3598	2670
574	3600	2661
575	3604	2653
576	3606	2644
577	3609	2635
578	3611	2626
579	3613	2616
580	3632	2619
581	3637	2612
582	3641	2604
583	3642	2594
584	3644	2585
585	3646	2575
586	3647	2566
587	3651	2558
588	3655	2550
589	3657	2541
590	3659	2532
591	3662	2523
592	3666	2516
593	3708	2534
594	3716	2529
595	3719	2521
596	3721	2512
597	3724	2503
598	3726	2494
599	3732	2488
600	3735	2479
601	3737	2470
602	3739	2462
603	3743	2454
604	3745	2445
605	3755	2441
606	3760	2434
607	3763	2426
608	3765	2417
609	3767	2408
610	3769	2400
611	3772	2391
612	3777	2384
613	3780	2376
614	3785	2370
615	3792	2364
616	3794	2355
617	3809	2354
618	3811	2346
619	3813	2337
620	3816	2329
621	3863	2347
622	3887	2352
623	3891	2344
624	3895	2337
625	3897	2328
626	3900	2320
627	3902	2311
628	3906	2304
629	3910	2296
630	3912	2288
631	3915	2279
632	3920	2273
633	3922	2264
634	3929	2258
635	3931	2250
636	3936	2243
637	3939	2234
638	3941	2226
639	3944	2218
640	3946	2210
641	3950	2203
642	3952	2194
643	3954	2186
644	3956	2177
645	3958	2168
646	3960	2160
647	3969	2156
648	3971	2147
649	3972	2139
650	3974	2130
651	3976	2122
652	3978	2114
653	3984	2108
654	3987	2100
655	3989	2092
656	3992	2084
657	4000	2079
658	4003	2071
659	4006	2063
660	4018	2060
661	4020	2052
662	4023	2044
663	4025	2037
664	4032	2031
665	4034	2023
666	4036	2015
667	4038	2007
668	4041	1999
669	4045	1992
670	4047	1984
671	4050	1977
672	4054	1969
673	4094	1980
674	4097	1972
675	4100	1965
676	4102	1957
677	4104	1949
678	4109	1942
679	4111	1934
680	4115	1927
681	4117	1919
682	4119	1911
683	4125	1905
684	4128	1898
685	4161	1904
686	4163	1896
687	4166	1889
688	4168	1881
689	4172	1874
690	4174	1866
691	4176	1859
692	4178	1851
693	4181	1843
694	4186	1837
695	4191	1830
696	4193	1822
697	4196	1815
698	4225	1819
699	4227	1811
700	4230	1804
701	4234	1797
702	4237	1790
703	4240	1782
704	4242	1775
705	4246	1768
706	4252	1762
707	4273	1762
708	4275	1754
709	4277	1747
710	4280	1739
711	4283	1732
712	4291	1727
713	4304	1724
714	4308	1717
715	4310	1709
716	4316	1703
717	4318	1696
718	4352	1700
719	4355	1693
720	4357	1686
721	4359	1678
722	4363	1671
723	4366	1664
724	4369	1657
725	4373	1650
726	4378	1644
727	4380	1636
728	4383	1629
729	4412	1631
730	4418	1625
731	4420	1618
732	4422	1610
733	4426	1604
734	4432	1598
735	4434	1590
736	4436	1583
737	4440	1576
738	4445	1569
739	4447	1562
740	4450	1555
741	4451	1547
742	4503	1557
743	4509	1551
744	4511	1544
745	4513	1536
746	4517	1530
747	4524	1524
748	4526	1517
749	4530	1510
750	4532	1502
751	4540	1497
752	4543	1490
753	4544	1482
754	4548	1475
755	4550	1468
756	4553	1461
757	4555	1454
758	4558	1447
759	4561	1440
760	4563	1433
761	4568	1426
762	4571	1419
763	4573	1412
764	4577	1406
765	4589	1401
766	4601	1397
767	4645	1403
768	4647	1396
769	4650	1389
770	4653	1382
771	4660	1376
772	4662	1369
773	4664	1361
774	4666	1354
775	4668	1347
776	4670	1340
777	4674	1333
778	4677	1326
779	4678	1319
780	4680	1312
781	4682	1305
782	4688	1299
783	4691	1292
784	4693	1285
785	4696	1278
786	4698	1271
787	4705	1266
788	4708	1259
789	4710	1252
790	4712	1245
791	4717	1238
792	4720	1232
793	4722	1225
794	4724	1218
795	4731	1212
796	4736	1206
797	4739	1199
798	4742	1192
799	4747	1186
800	4764	1183
801	4771	1177
802	4773	1171
803	4780	1165
804	4783	1158
805	4787	1152
806	4789	1145
807	4795	1139
808	4834	1141
809	4837	1134
810	4842	1128
811	4845	1121
812	4848	1115
813	4851	1108
814	4853	1101
815	4858	1095
816	4860	1088
817	4862	1081
818	4863	1074
819	4865	1067
820	4891	1066
821	4893	1059
822	4896	1053
823	4899	1046
824	4901	1039
825	4909	1034
826	4912	1027
827	4914	1020
828	4917	1014
829	4923	1008
830	4926	1001
831	4928	995
832	4954	993
833	4959	987
834	4962	980
835	4965	974
836	4970	967
837	4972	961
838	4974	954
839	4977	948
840	4987	943
841	4990	936
842	4992	929
843	5002	924
844	5004	918
845	5007	911
846	5011	905
847	5016	899
848	5019	892
849	5021	886
850	5023	879
851	5025	872
852	5027	866
853	5032	860
854	5041	854
855	5046	848
856	5048	842
857	5050	835
858	5053	829
859	5056	823
860	5058	816
861	5074	812
862	5081	806
863	5083	800
864	5086	793
865	5088	787
866	5102	782
867	5105	776
868	5114	770
869	5117	764
870	5119	758
871	5122	751
872	5127	745
873	5132	739
874	5134	733
875	5140	727
876	5144	721
877	5188	720
878	5192	714
879	5194	708
880	5197	701
881	5200	695
882	5206	689
883	5208	683
884	5210	677
885	5212	670
886	5215	664
887	5220	658
888	5228	652
889	5230	646
890	5233	640
891	5235	633
892	5238	627
893	5240	621
894	5242	615
895	5245	608
896	5251	603
897	5253	596
898	5255	590
899	5257	584
900	5259	577
901	5267	572
902	5270	566
903	5272	559
904	5275	553
905	5282	548
906	5284	541
907	5287	535
908	5290	529
909	5292	523
910	5299	517
911	5301	511
912	5339	508
913	5343	502
914	5348	496
915	5353	490
916	5356	484
917	5365	479
918	5368	473
919	5371	467
920	5373	460
921	5379	455
922	5405	450
923	5410	445
924	5415	439
925	5419	433
926	5422	426
927	5428	421
928	5432	415
929	5435	409
930	5440	403
931	5445	397
932	5467	392
933	5469	386
934	5473	380
935	5477	374
936	5481	368
937	5484	362
938	5492	356
939	5494	350
940	5496	344
941	5504	338
942	5522	333
943	5525	327
944	5527	321
945	5530	315
946	5534	309
947	5537	303
948	5539	297
949	5541	291
950	5548	285
951	5551	279
952	5553	273
953	5556	267
954	5573	262
955	5575	256
956	5580	250
957	5583	244
958	5585	238
959	5587	232
960	5589	226
961	5594	220
962	5596	215
963	5598	209
964	5599	203
965	5601	197
966	5603	191
967	5609	185
968	5612	179
969	5614	173
970	5616	167
971	5619	161
972	5623	156
973	5629	150
974	5631	144
975	5635	138
976	5641	132
977	5643	126
978	5655	121
979	5659	115
980	5661	109
981	5663	103
982	5665	97
983	5668	92
984	5672	86
985	5677	80
986	5681	74
987	5685	69
988	5691	63
989	5693	57
990	5743	52
991	5746	46
992	5752	40
993	5753	34
994	5755	28
995	5757	23
996	5759	17
997	5760	11
998	5762	5
999	5768	0
